time,P,Gb(i),Gd(i),H_sun,T2m,WS10m,load,residual_load,dataset_id
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,9.11,5.38,113.5,113.5,1
2018-01-01 00:15:00,0.0,0.0,0.0,0.0,8.89,5.43,119.0,119.0,1
2018-01-01 00:30:00,0.0,0.0,0.0,0.0,8.66,5.48,117.5,117.5,1
2018-01-01 00:45:00,0.0,0.0,0.0,0.0,8.44,5.54,114.5,114.5,1
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,8.22,5.59,123.0,123.0,1
2018-01-01 01:15:00,0.0,0.0,0.0,0.0,8.0,5.54,122.0,122.0,1
2018-01-01 01:30:00,0.0,0.0,0.0,0.0,7.78,5.48,113.5,113.5,1
2018-01-01 01:45:00,0.0,0.0,0.0,0.0,7.56,5.43,121.0,121.0,1
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,7.34,5.38,118.5,118.5,1
2018-01-01 02:15:00,0.0,0.0,0.0,0.0,7.24,5.36,122.0,122.0,1
2018-01-01 02:30:00,0.0,0.0,0.0,0.0,7.14,5.34,118.5,118.5,1
2018-01-01 02:45:00,0.0,0.0,0.0,0.0,7.04,5.33,120.5,120.5,1
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,6.94,5.31,115.5,115.5,1
2018-01-01 03:15:00,0.0,0.0,0.0,0.0,6.78,5.43,118.5,118.5,1
2018-01-01 03:30:00,0.0,0.0,0.0,0.0,6.63,5.55,120.0,120.0,1
2018-01-01 03:45:00,0.0,0.0,0.0,0.0,6.48,5.67,123.5,123.5,1
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,6.32,5.79,122.0,122.0,1
2018-01-01 04:15:00,0.0,0.0,0.0,0.0,6.2,5.79,125.0,125.0,1
2018-01-01 04:30:00,0.0,0.0,0.0,0.0,6.08,5.79,127.5,127.5,1
2018-01-01 04:45:00,0.0,0.0,0.0,0.0,5.95,5.79,136.5,136.5,1
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,5.83,5.79,136.0,136.0,1
2018-01-01 05:15:00,0.0,0.0,0.0,0.0,5.81,5.82,140.5,140.5,1
2018-01-01 05:30:00,0.0,0.0,0.0,0.0,5.78,5.86,138.5,138.5,1
2018-01-01 05:45:00,0.0,0.0,0.0,0.0,5.76,5.9,138.0,138.0,1
2018-01-01 06:00:00,0.0,0.0,0.0,0.0,5.74,5.93,144.5,144.5,1
2018-01-01 06:15:00,0.0,0.0,0.0,0.0,5.68,5.9,134.0,134.0,1
2018-01-01 06:30:00,0.0,0.0,0.0,0.0,5.62,5.86,132.0,132.0,1
2018-01-01 06:45:00,0.0,0.0,0.0,0.0,5.56,5.82,130.5,130.5,1
2018-01-01 07:00:00,0.0,0.0,0.0,0.0,5.5,5.79,131.5,131.5,1
2018-01-01 07:15:00,4.26,5.27,6.73,1.08,5.4,5.65,132.0,127.74,1
2018-01-01 07:30:00,8.51,10.54,13.46,2.15,5.3,5.52,133.0,124.49,1
2018-01-01 07:45:00,12.77,15.82,20.19,3.23,5.21,5.38,133.0,120.23,1
2018-01-01 08:00:00,17.02,21.09,26.92,4.31,5.11,5.24,131.5,114.48,1
2018-01-01 08:15:00,30.69,16.68,35.17,5.74,5.14,5.2,124.0,93.31,1
2018-01-01 08:30:00,44.35,12.27,43.42,7.16,5.18,5.17,120.5,76.15,1
2018-01-01 08:45:00,58.02,7.86,51.66,8.59,5.22,5.14,116.5,58.48,1
2018-01-01 09:00:00,71.68,3.45,59.91,10.02,5.25,5.1,122.0,50.31999999999999,1
2018-01-01 09:15:00,107.99,20.26,74.47,10.99,5.3,5.14,123.5,15.510000000000005,1
2018-01-01 09:30:00,144.3,37.07,89.02,11.96,5.36,5.17,115.5,-28.80000000000001,1
2018-01-01 09:45:00,180.6,53.88,103.58,12.92,5.41,5.2,118.0,-62.599999999999994,1
2018-01-01 10:00:00,216.91,70.69,118.14,13.89,5.46,5.24,120.5,-96.41,1
2018-01-01 10:15:00,176.13,56.99,117.1,14.32,5.5,5.28,123.0,-53.129999999999995,1
2018-01-01 10:30:00,135.36,43.29,116.05,14.75,5.55,5.31,121.5,-13.860000000000014,1
2018-01-01 10:45:00,94.59,29.59,115.0,15.18,5.6,5.34,120.0,25.409999999999997,1
2018-01-01 11:00:00,53.81,15.89,113.96,15.61,5.64,5.38,122.5,68.69,1
2018-01-01 11:15:00,101.73,11.92,102.09,15.46,5.69,5.33,118.0,16.269999999999996,1
2018-01-01 11:30:00,149.66,7.94,90.22,15.31,5.74,5.28,118.0,-31.659999999999997,1
2018-01-01 11:45:00,197.58,3.97,78.36,15.16,5.8,5.22,122.5,-75.08000000000001,1
2018-01-01 12:00:00,245.5,0.0,66.49,15.01,5.85,5.17,118.0,-127.5,1
2018-01-01 12:15:00,203.04,0.0,57.81,14.3,5.87,5.08,122.0,-81.03999999999999,1
2018-01-01 12:30:00,160.58,0.0,49.12,13.58,5.88,5.0,118.0,-42.58000000000001,1
2018-01-01 12:45:00,118.12,0.0,40.44,12.86,5.9,4.92,114.5,-3.6200000000000045,1
2018-01-01 13:00:00,75.66,0.0,31.76,12.15,5.92,4.83,116.5,40.84,1
2018-01-01 13:15:00,68.44,3.28,35.96,10.93,5.88,4.8,121.5,53.06,1
2018-01-01 13:30:00,61.21,6.56,40.16,9.72,5.84,4.76,117.0,55.79,1
2018-01-01 13:45:00,53.99,9.84,44.35,8.5,5.8,4.73,122.5,68.50999999999999,1
2018-01-01 14:00:00,46.76,13.12,48.55,7.28,5.76,4.69,120.5,73.74000000000001,1
2018-01-01 14:15:00,35.07,9.84,36.41,5.46,5.67,4.5,116.0,80.93,1
2018-01-01 14:30:00,23.38,6.56,24.28,3.64,5.57,4.31,118.5,95.12,1
2018-01-01 14:45:00,11.69,3.28,12.14,1.82,5.48,4.12,115.5,103.81,1
2018-01-01 15:00:00,0.0,0.0,0.0,0.0,5.39,3.93,115.5,115.5,1
2018-01-01 15:15:00,0.0,0.0,0.0,0.0,5.3,3.84,117.0,117.0,1
2018-01-01 15:30:00,0.0,0.0,0.0,0.0,5.2,3.76,118.0,118.0,1
2018-01-01 15:45:00,0.0,0.0,0.0,0.0,5.1,3.68,115.0,115.0,1
2018-01-01 16:00:00,0.0,0.0,0.0,0.0,5.01,3.59,118.0,118.0,1
2018-01-01 16:15:00,0.0,0.0,0.0,0.0,4.97,3.59,117.5,117.5,1
2018-01-01 16:30:00,0.0,0.0,0.0,0.0,4.92,3.59,116.0,116.0,1
2018-01-01 16:45:00,0.0,0.0,0.0,0.0,4.88,3.59,118.5,118.5,1
2018-01-01 17:00:00,0.0,0.0,0.0,0.0,4.84,3.59,131.0,131.0,1
2018-01-01 17:15:00,0.0,0.0,0.0,0.0,4.76,3.64,122.0,122.0,1
2018-01-01 17:30:00,0.0,0.0,0.0,0.0,4.67,3.69,128.5,128.5,1
2018-01-01 17:45:00,0.0,0.0,0.0,0.0,4.58,3.74,125.5,125.5,1
2018-01-01 18:00:00,0.0,0.0,0.0,0.0,4.5,3.79,118.5,118.5,1
2018-01-01 18:15:00,0.0,0.0,0.0,0.0,4.42,3.84,125.5,125.5,1
2018-01-01 18:30:00,0.0,0.0,0.0,0.0,4.35,3.9,122.0,122.0,1
2018-01-01 18:45:00,0.0,0.0,0.0,0.0,4.27,3.95,121.5,121.5,1
2018-01-01 19:00:00,0.0,0.0,0.0,0.0,4.19,4.0,126.5,126.5,1
2018-01-01 19:15:00,0.0,0.0,0.0,0.0,4.02,4.07,121.0,121.0,1
2018-01-01 19:30:00,0.0,0.0,0.0,0.0,3.84,4.14,120.5,120.5,1
2018-01-01 19:45:00,0.0,0.0,0.0,0.0,3.66,4.21,125.0,125.0,1
2018-01-01 20:00:00,0.0,0.0,0.0,0.0,3.49,4.28,120.0,120.0,1
2018-01-01 20:15:00,0.0,0.0,0.0,0.0,3.35,4.18,125.5,125.5,1
2018-01-01 20:30:00,0.0,0.0,0.0,0.0,3.21,4.07,124.5,124.5,1
2018-01-01 20:45:00,0.0,0.0,0.0,0.0,3.07,3.96,121.5,121.5,1
2018-01-01 21:00:00,0.0,0.0,0.0,0.0,2.93,3.86,124.5,124.5,1
2018-01-01 21:15:00,0.0,0.0,0.0,0.0,2.88,3.72,119.5,119.5,1
2018-01-01 21:30:00,0.0,0.0,0.0,0.0,2.82,3.58,119.0,119.0,1
